unit,cost,health,armor,magic_resist,attack_damage,attack_range,speed_of_attack,dps,skill_name,skill_cost,origin,class,image_path,traits,role
ziggs,2.0,600/1080/1944,40.0,40.0,55/83/147,1.0,0.7,39/58/110,Bomb Full of Bombs,15/60,['Scrap'],['Dominator'],ziggs.png,"['Scrap', 'Dominator']", Magic Caster
blitzcrank,3.0,850/1530/2754,40.0,40.0,55/83/148,1.0,0.7,39/58/111,Static Field,20/70,['Automata'],['Dominator'],blitzcrank.png,"['Automata', 'Dominator']", Magic Tank
cassiopeia,3.0,700/1260/2268,40.0,40.0,55/83/149,1.0,0.7,39/58/112,Thorned Miasma,10/40,['Black Rose'],['Dominator'],cassiopeia.png,"['Black Rose', 'Dominator']", Magic Caster
ezreal,3.0,700/1260/2268,40.0,40.0,55/83/150,1.0,0.7,39/58/113,Essence Flux,0/60,"['Academy', 'Rebel']",['Artillerist'],ezreal.png,"['Academy', 'Rebel', 'Artillerist']", Attack Caster
gangplank,3.0,800/1440/2592,40.0,40.0,55/83/151,1.0,0.7,39/58/114,Harvest from Flames,0/60,['Scrap'],"['Form Swapper', 'Pit Fighter']",gangplank.png,"['Scrap', 'Form Swapper', 'Pit Fighter']", Attack Fighter
gangplank_ranged,3.0,700/1260/2268,40.0,40.0,55/83/152,1.0,0.7,39/58/115,Sticky Bombs,0/75,['Scrap'],"['Form Swapper', 'Pit Fighter']",gangplank_ranged.png,"['Scrap', 'Form Swapper', 'Pit Fighter']", Attack Caster
kogmaw,3.0,650/1170/2106,40.0,40.0,55/83/153,1.0,0.7,39/58/116,Upgrading Barrage Module,0/40,['Automata'],['Sniper'],kogmaw.png,"['Automata', 'Sniper']", Magic Carry
loris,3.0,850/1530/2754,40.0,40.0,55/83/154,1.0,0.7,39/58/117,Piltover Bulwark,50/100,['Enforcer'],['Sentinel'],loris.png,"['Enforcer', 'Sentinel']", Magic Tank
nami,3.0,700/1260/2268,40.0,40.0,55/83/155,1.0,0.7,39/58/118,Ocean's Ebb,0/60,['Emissary'],['Sorceror'],nami.png,"['Emissary', 'Sorceror']", Magic Caster
nunu_and_willump,3.0,800/1440/2592,40.0,40.0,55/83/156,1.0,0.7,39/58/119,ZOMBIE POWER!!,60/125,['Experiment'],"['Bruiser', 'Visionary']",nunu_and_willump.png,"['Experiment', 'Bruiser', 'Visionary']", Magic Tank
renni,3.0,850/1530/2754,40.0,40.0,55/83/157,1.0,0.7,39/58/120,Sludgerunner's Smash,40/100,['Chembaron'],['Bruiser'],renni.png,"['Chembaron', 'Bruiser']", Attack Tank
scar,3.0,850/1530/2754,40.0,40.0,55/83/158,1.0,0.7,39/58/121,Sumpsnipe Surprise,80/155,['Firelight'],['Watcher'],scar.png,"['Firelight', 'Watcher']", Magic Tank
smeech,3.0,800/1440/2592,40.0,40.0,55/83/159,1.0,0.7,39/58/122,Scrap Hacker,20/80,['Chembaron'],['Ambusher'],smeech.png,"['Chembaron', 'Ambusher']", Attack Reaper
swain,3.0,950/1710/3078,40.0,40.0,55/83/160,1.0,0.7,39/58/123,Demonic Ascension,40/100,['Conqueror'],"['Form Swapper', 'Sorceror']",swain.png,"['Conqueror', 'Form Swapper', 'Sorceror']", Magic Tank
swain_ranged,3.0,650/1170/2106,40.0,40.0,55/83/161,1.0,0.7,39/58/124,Murder of Crows,20/70,['Conqueror'],"['Form Swapper', 'Sorceror']",swain_ranged.png,"['Conqueror', 'Form Swapper', 'Sorceror']", Magic Caster
twisted_fate,3.0,700/1260/2268,40.0,40.0,55/83/162,1.0,0.7,39/58/125,Wild Cards,25/75,['Enforcer'],['Quickstriker'],twisted_fate.png,"['Enforcer', 'Quickstriker']", Magic Caster
ambessa,4.0,1100/1980/3564,40.0,40.0,55/83/163,1.0,0.7,39/58/126,Unrelenting Huntress,40/100,"['Emissary', 'Conqueror']",['Quickstriker'],ambessa.png,"['Emissary', 'Conqueror', 'Quickstriker']", Attack Fighter
corki,4.0,850/1530/2754,40.0,40.0,55/83/164,1.0,0.7,39/58/127,Broadside Barrage,0/60,['Scrap'],['Artillerist'],corki.png,"['Scrap', 'Artillerist']", Attack Caster
dr_mundo,4.0,1100/1980/3564,40.0,40.0,55/83/165,1.0,0.7,39/58/128,Maximum Dosage,30/100,['Experiment'],['Dominator'],mundo.png,"['Experiment', 'Dominator']", Magic Tank
ekko,4.0,1100/1980/3564,40.0,40.0,55/83/166,1.0,0.7,39/58/129,Splitting Seconds,30/60,"['Firelight', 'Scrap']",['Ambusher'],ekko.png,"['Firelight', 'Scrap', 'Ambusher']", Magic Reaper
elise,4.0,1100/1980/3564,40.0,40.0,55/83/167,1.0,0.7,39/58/130,Cocoon,50/160,['Black Rose'],"['Form Swapper', 'Bruiser']",elise.png,"['Black Rose', 'Form Swapper', 'Bruiser']", Magic Tank
elise_ranged,4.0,750/1350/2430,40.0,40.0,55/83/168,1.0,0.7,39/58/131,Volatile Spiderlings,20/80,['Black Rose'],"['Form Swapper', 'Bruiser']",elise_ranged.png,"['Black Rose', 'Form Swapper', 'Bruiser']", Magic Caster
garen,4.0,1000/1800/3240,40.0,40.0,55/83/169,1.0,0.7,39/58/132,Demacian Justice,60/125,['Emissary'],['Watcher'],garen.png,"['Emissary', 'Watcher']", Attack Tank
heimerdinger,4.0,800/1440/2592,40.0,40.0,55/83/170,1.0,0.7,39/58/133,PROGRESSSSS!,0/40,['Academy'],['Visionary'],heimerdinger.png,"['Academy', 'Visionary']", Magic Caster 
illaoi,4.0,1100/1980/3564,40.0,40.0,55/83/171,1.0,0.7,39/58/134,Test of Spirit,65/125,['Rebel'],['Sentinel'],illaoi.png,"['Rebel', 'Sentinel']", Magic Tank
silco,4.0,800/1440/2592,40.0,40.0,55/83/172,1.0,0.7,39/58/135,Canned Monstrosity,30/80,['Chembaron'],['Dominator'],silco.png,"['Chembaron', 'Dominator']", Magic Caster
twitch,4.0,800/1440/2592,40.0,40.0,55/83/173,1.0,0.7,39/58/136,Spray and Pray,0/60,['Experiment'],['Sniper'],twitch.png,"['Experiment', 'Sniper']", Attack Carry
vi,4.0,1100/1980/3564,40.0,40.0,55/83/174,1.0,0.7,39/58/137,Wrecking Crew,40/100,['Enforcer'],['Pit Fighter'],vi.png,"['Enforcer', 'Pit Fighter']", Attack Fighter
zoe,4.0,800/1440/2592,40.0,40.0,55/83/175,1.0,0.7,39/58/138,Paddle Star!,20/80,['Rebel'],['Sorceror'],zoe.png,"['Rebel', 'Sorceror']", Magic Caster
caitlyn,5.0,900/1620/2916,40.0,40.0,55/83/176,1.0,0.7,39/58/139,Air Raid,0/50,['Enforcer'],['Sniper'],caitlyn.png,"['Enforcer', 'Sniper']", Attack Caster
jayce,5.0,1200/2160/3888,40.0,40.0,55/83/177,1.0,0.7,39/58/140,Special Delivery,30/80,['Academy'],['Form Swapper'],jayce.png,"['Academy', 'Form Swapper']", Attack Fighter
jayce_ranged,5.0,900/1620/2916,40.0,40.0,55/83/178,1.0,0.7,39/58/141,Hexcrystal Destruction,15/65,['Academy'],['Form Swapper'],jayce_ranged.png,"['Academy', 'Form Swapper']", Attack Caster
jinx,5.0,900/1620/2916,40.0,40.0,55/83/179,1.0,0.7,39/58/142,Ruin Everything ,0/60,['Rebel'],['Ambusher'],jinx.png,"['Rebel', 'Ambusher']", Attack Caster
leblanc,5.0,900/1620/2916,40.0,40.0,55/83/180,1.0,0.7,39/58/143,The Chains of Fate,45/90,['Black Rose'],['Sorceror'],leblanc.png,"['Black Rose', 'Sorceror']", Magic Caster
malzahar,5.0,950/1710/3078,40.0,40.0,55/83/181,1.0,0.7,39/58/144,Call of the Machine,30/90,['Automata'],['Visionary'],malzahar.png,"['Automata', 'Visionary']", Magic Caster
mordekaiser,5.0,1200/2160/3888,40.0,40.0,55/83/182,1.0,0.7,39/58/145,Grasp of the Iron Revenant,25/100,['Conqueror'],['Dominator'],mordekaiser.png,"['Conqueror', 'Dominator']", Magic Fighter
rumble,5.0,1200/2160/3888,40.0,40.0,55/83/183,1.0,0.7,39/58/146,The Equalizer,40/120,"['Junker King', 'Scrap']",['Sentinel'],rumble.png,"['Junker King', 'Scrap', 'Sentinel']", Magic Fighter
sevika,5.0,1200/2160/3888,40.0,40.0,55/83/184,1.0,0.7,39/58/147,Beat the Odds,0/60,"['High Roller', 'Chembaron']",['Pit Fighter'],sevika.png,"['High Roller', 'Chembaron', 'Pit Fighter']", Attack Fighter
